GLN,Namn,Avdelning,Gatuadress,Postbox,Postnummer och ort,Sökattribut,Id,Leveransplats,string_address,coordinates,latitude,longitude
7381020441992,Träcenter,Funktionsstöd,,Skreavägen 5,311 44 Falkenberg,,7381020441992,,"Träcenter, Skreavägen 5, 311 44 Falkenberg","(56.8978874, 12.533747)",56.8978874,12.533747
7381020442517,Tröingebergs förskola,Förskola,,Prismavägen 2,311 78 Falkenberg,,7381020442517,,"Tröingebergs förskola, Prismavägen 2, 311 78 Falkenberg","(56.9132604, 12.5231851)",56.9132604,12.5231851
7381020440735,Tröingebergs förskola,Köket,,Prismavägen 2,311 38 Falkenberg,,7381020440735,,"Tröingebergs förskola, Prismavägen 2, 311 38 Falkenberg","(56.9132604, 12.5231851)",56.9132604,12.5231851
7381020441206,Tullbro förskola,Köket,,Halmstadvägen 2,311 45 Falkenberg,,7381020441206,,"Tullbro förskola, Halmstadvägen 2, 311 45 Falkenberg","(56.90302939999999, 12.5005235)",56.90302939999999,12.5005235
7381020442449,Tullbro förskola,Förskola,,Läroverksgatan 3,311 45 Falkenberg,,7381020442449,,"Tullbro förskola, Läroverksgatan 3, 311 45 Falkenberg","(56.902969, 12.499565)",56.902969,12.499565
7381020440759,Tullbroskolan,Köket,,Halmstadvägen 2,311 45 Falkenberg,,7381020440759,,"Tullbroskolan, Halmstadvägen 2, 311 45 Falkenberg","(56.90302939999999, 12.5005235)",56.90302939999999,12.5005235
7381020440506,Tullbroskolan Elevcafé,,,Halmstadvägen 2,311 45 Falkenberg,,7381020440506,,"Tullbroskolan Elevcafé, Halmstadvägen 2, 311 45 Falkenberg","(56.90302939999999, 12.5005235)",56.90302939999999,12.5005235
7381020440513,Tullbroskolan Hemkunskap,,,Halmstadvägen 2,311 45 Falkenberg,,7381020440513,,"Tullbroskolan Hemkunskap, Halmstadvägen 2, 311 45 Falkenberg","(56.902969, 12.499565)",56.902969,12.499565
7381020440575,Tullbroskolan kök Läger,Köket,,Halmstadvägen 2,311 45 Falkenberg,,7381020440575,,"Tullbroskolan kök Läger, Halmstadvägen 2, 311 45 Falkenberg","(56.90302939999999, 12.5005235)",56.90302939999999,12.5005235
7381020440674,Tånga Fritidsgård,,,Murarevägen 50,311 36 Falkenberg,,7381020440674,,"Tånga Fritidsgård, Murarevägen 50, 311 36 Falkenberg","(56.9123982, 12.4949256)",56.9123982,12.4949256
7381020442463,Tångalyckans förskola,Förskola,,Murarevägen 44,311 36 Falkenberg,,7381020442463,,"Tångalyckans förskola, Murarevägen 44, 311 36 Falkenberg","(56.9120948, 12.4954958)",56.9120948,12.4954958
7381020440216,Tångaskolan,Köket,,Murarevägen 50,311 36 Falkenberg,,7381020440216,,"Tångaskolan, Murarevägen 50, 311 36 Falkenberg","(56.9123982, 12.4949256)",56.9123982,12.4949256
7381020440520,Tångaskolan Elevcafé,,,Murarevägen 50,311 36 Falkenberg,,7381020440520,,"Tångaskolan Elevcafé, Murarevägen 50, 311 36 Falkenberg","(56.912273, 12.497001)",56.912273,12.497001
7381020440537,Tångaskolan Hemkunskap,,,Murarevägen 50,311 36 Falkenberg,,7381020440537,,"Tångaskolan Hemkunskap, Murarevägen 50, 311 36 Falkenberg","(56.912273, 12.497001)",56.912273,12.497001
7381020442067,"Ullared, Enhetsområde 10",Funktionsstöd,,Varbergsvägen 12,310 60 Ullared,,7381020442067,,"Ullared, Enhetsområde 10, Varbergsvägen 12, 310 60 Ullared","(57.1374164, 12.7157406)",57.1374164,12.7157406
7381020442548,Ullareds förskola,Förskola,,Skolvägen 12,311 60 Ullared,,7381020442548,,"Ullareds förskola, Skolvägen 12, 311 60 Ullared","(57.13792350000001, 12.7167619)",57.13792350000001,12.7167619
7381020442371,"Ullareds förskola, Furubbacken",Förskola,,Furuvägen 5,311 60 Ullared,,7381020442371,,"Ullareds förskola, Furubbacken, Furuvägen 5, 311 60 Ullared","(57.13792350000001, 12.7167619)",57.13792350000001,12.7167619
7381020441763,Ung Fbg,,,Stationsgatan 12,311 75 Falkenberg,,7381020441763,,"Ung Fbg, Stationsgatan 12, 311 75 Falkenberg","(56.90162979999999, 12.4901196)",56.90162979999999,12.4901196
7381020442715,Utvecklingsavdelningen,,,Nygatan 34,311 80 Falkenberg,,7381020442715,,"Utvecklingsavdelningen, Nygatan 34, 311 80 Falkenberg","(56.904749, 12.4917326)",56.904749,12.4917326
7381020440544,Vessigebro förskola,Köket,,Sjönevadsvägen,311 64 Vessigebro,,7381020440544,,"Vessigebro förskola, Sjönevadsvägen, 311 64 Vessigebro","(56.9750935, 12.6702748)",56.9750935,12.6702748
7381020442524,Vessigebro förskola,Förskola,,Sjönevadsvägen 24,311 64 Vessigebro,,7381020442524,,"Vessigebro förskola, Sjönevadsvägen 24, 311 64 Vessigebro","(56.9747014, 12.6700867)",56.9747014,12.6700867
7381020440223,Vessigebroskolan,Köket,,Sjönevadsvägen,310 58 Vessigebro,,7381020440223,,"Vessigebroskolan, Sjönevadsvägen, 310 58 Vessigebro","(56.9750935, 12.6702748)",56.9750935,12.6702748
7381020442630,Vinbergs förskola,Förskola,,Vinbyvägen 2 F,311 99 Vinberg,,7381020442630,,"Vinbergs förskola, Vinbyvägen 2 F, 311 99 Vinberg","(56.9476482, 12.5413803)",56.9476482,12.5413803
7381020440285,Vinbergsskolan,Köket,,Ringare Gustavs väg 4,311 94 Falkenberg,,7381020440285,,"Vinbergsskolan, Ringare Gustavs väg 4, 311 94 Falkenberg","(56.9313543, 12.5488612)",56.9313543,12.5488612
7381020442135,Vinby,Stöd- och beroendeenheten,,Vinbyvägen 2,311 99 Vinberg,,7381020442135,,"Vinby, Vinbyvägen 2, 311 99 Vinberg","(56.9475652, 12.5412683)",56.9475652,12.5412683
7381020441329,Violens förskola,Köket,,Violvägen 8,311 33  Falkenberg,,7381020441329,,"Violens förskola, Violvägen 8, 311 33  Falkenberg","(56.9117391, 12.4386025)",56.9117391,12.4386025
7381020440438,Vitklöverns förskola,Köket,,Vitklövervägen 10,311 33 Falkenberg,,7381020440438,,"Vitklöverns förskola, Vitklövervägen 10, 311 33 Falkenberg","(56.9128501, 12.4270438)",56.9128501,12.4270438
7381020442661,Vitklöverns förskola,Förskola,,Vitklövervägen 10,311 33 Falkenberg,,7381020442661,,"Vitklöverns förskola, Vitklövervägen 10, 311 33 Falkenberg","(56.9128501, 12.4270438)",56.9128501,12.4270438
7381020441930,Vitvaruåtervinningen,Funktionsstöd,,Falkåsvägen 3,311 32 Falkenberg,,7381020441930,,"Vitvaruåtervinningen, Falkåsvägen 3, 311 32 Falkenberg","(56.905285, 12.4680097)",56.905285,12.4680097
7381020441008,Vivab leverantörsnummer,,,,,,7381020441008,,"Vivab leverantörsnummer, , ","(None, None)",,
7381020441091,Vuxenenheten,,,Kanslistvägen 10,311 39 Falkenberg,,7381020441091,,"Vuxenenheten, Kanslistvägen 10, 311 39 Falkenberg","(56.915009, 12.4959264)",56.915009,12.4959264
7381020442210,Växthuset,,,Årstadvägen 7,311 44 Falkenberg,,7381020442210,,"Växthuset, Årstadvägen 7, 311 44 Falkenberg","(56.8996693, 12.5425688)",56.8996693,12.5425688
7381020440032,Werners Hage,Köket,,Valthornsvägen 1,311 38 Falkenberg,,7381020440032,,"Werners Hage, Valthornsvägen 1, 311 38 Falkenberg","(56.9155679, 12.5114211)",56.9155679,12.5114211
7381020442623,Werners hages förskola,Förskola,,Valthornsvägen 1,311 38 Falkenberg,,7381020442623,,"Werners hages förskola, Valthornsvägen 1, 311 38 Falkenberg","(56.9172361, 12.5198876)",56.9172361,12.5198876
7381020440162,Älvgården,Köket,,Sjönevadsvägen Pl2222,310 58 Vessigebro,,7381020440162,,"Älvgården, Sjönevadsvägen Pl2222, 310 58 Vessigebro","(56.9750935, 12.6702748)",56.9750935,12.6702748
7381020440353,Älvseredskolan,Köket,,Älvsered,310 63 Älvsered,,7381020440353,,"Älvseredskolan, Älvsered, 310 63 Älvsered","(57.24423239999999, 12.8645613)",57.24423239999999,12.8645613
7381020440391,Ängens förskola,Köket,,Ängsstigen 1,311 41 Falkenberg,,7381020440391,,"Ängens förskola, Ängsstigen 1, 311 41 Falkenberg","(56.8856413, 12.5142788)",56.8856413,12.5142788
7381020441046,Ätranhemmet,Särskilt boende,,Halmstadvägen 1A,311 51 Ätran,,7381020441046,,"Ätranhemmet, Halmstadvägen 1A, 311 51 Ätran","(57.1203492, 12.9487819)",57.1203492,12.9487819
7381020440049,Ätranhemmet,Köket,,Box 67,310 61 Ätran,,7381020440049,,"Ätranhemmet, Box 67, 310 61 Ätran","(57.1203492, 12.9487819)",57.1203492,12.9487819
7381020442364,Ätrans förskola,Förskola,,Eseredsvägen 3,311 61 Ätran,,7381020442364,,"Ätrans förskola, Eseredsvägen 3, 311 61 Ätran","(57.1245299, 12.9520295)",57.1245299,12.9520295
7381020441169,Ätranskolan,Köket,,Box 143,311 61 Ätran,,7381020441169,,"Ätranskolan, Box 143, 311 61 Ätran","(57.1243898, 12.9488765)",57.1243898,12.9488765
7381020440360,Årstadskolan,Köket,,Årstad Pl 566,311 97 Falkenberg,,7381020440360,,"Årstadskolan, Årstad Pl 566, 311 97 Falkenberg","(56.91390269999999, 12.675384)",56.91390269999999,12.675384
7381020441565,Återtag Bräcke,Projektledning dv,,Nygatan 64,311 74 Falkenberg,,7381020441565,,"Återtag Bräcke, Nygatan 64, 311 74 Falkenberg","(56.90273329999999, 12.4888013)",56.90273329999999,12.4888013
7381020441305,Östra Gärdets förskola,Köket,,Utmarksvägen 12,311 36  Falkenberg,,7381020441305,,"Östra Gärdets förskola, Utmarksvägen 12, 311 36  Falkenberg","(56.91133439999999, 12.5030029)",56.91133439999999,12.5030029
7381020442609,Östra gärdets förskola,Förskola,,Utmarksvägen 12,311 36 Falkenberg,,7381020442609,,"Östra gärdets förskola, Utmarksvägen 12, 311 36 Falkenberg","(56.91133439999999, 12.5030029)",56.91133439999999,12.5030029
